Player,Age,Yrs,Games_Played,Minutes_Played,Field_Goals,Field_Goals_Attempted,3_Point_Goals,3_Point_Attempted,Free_Throws,Free_Throws_Attempted,Offensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,Points,Field_Goal_Percentage,3_Point_FG_Percentage,Free_Throw_Percentage,Minutes_Played_PG,Points_PG,Rebounds_PG,Assists_PG,All_Star
A.J.Price,23,1,56,865,145,354,60,174,60,75,12,88,106,35,3,59,53,410,0.41,0.345,0.8,15.4,7.3,1.6,1.9,0
AaronBrooks,23,1,51,608,93,225,36,109,42,49,13,56,87,13,5,44,69,264,0.413,0.33,0.857,11.9,5.2,1.1,1.7,0
AaronGordon,19,1,47,797,93,208,13,48,44,61,46,169,33,21,22,38,83,243,0.447,0.271,0.721,17,5.2,3.6,0.7,0
AaronGray,23,1,61,613,103,204,0,1,56,99,70,168,41,21,16,57,117,262,0.505,0,0.566,10,4.3,2.8,0.7,0
AaronHarrison,21,1,21,93,5,19,3,10,5,12,4,15,2,6,0,4,10,18,0.263,0.3,0.417,4.4,0.9,0.7,0.1,0
AaronMiles,22,1,19,118,6,18,0,0,4,4,0,14,24,4,1,11,13,16,0.333,,1,6.2,0.8,0.7,1.3,0
AcieLaw,23,1,56,865,95,237,7,34,38,48,12,57,113,29,0,56,73,235,0.401,0.206,0.792,15.4,4.2,1,2,0
AdamMorrison,22,1,78,2326,355,944,87,258,120,169,54,230,163,28,6,130,179,917,0.376,0.337,0.71,29.8,11.8,2.9,2.1,0
AdonisThomas,20,1,6,37,6,14,1,5,1,1,0,3,3,0,0,1,6,14,0.429,0.2,1,6.2,2.3,0.5,0.5,0
AdreianPayne,23,1,32,739,91,220,1,9,30,46,48,162,30,19,9,44,88,213,0.414,0.111,0.652,23.1,6.7,5.1,0.9,0
AlHorford,21,1,81,2540,333,668,0,5,155,212,248,785,124,60,76,137,267,821,0.499,0,0.731,31.4,10.1,9.7,1.5,1
AlJefferson,20,1,71,1051,195,369,0,3,85,135,119,312,24,22,55,66,195,475,0.528,0,0.63,14.8,6.7,4.4,0.3,0
AlThornton,24,1,79,2158,374,871,43,130,214,288,98,358,98,46,43,128,195,1005,0.429,0.331,0.743,27.3,12.7,4.5,1.2,0
Al-FarouqAminu,20,1,81,1452,160,406,45,143,92,119,75,267,60,59,25,103,121,457,0.394,0.315,0.773,17.9,5.6,3.3,0.7,0
